sample_id,source_row_id,time,line_id,line_name,station_id,station_name,inflow_30m,outflow_30m,crowding,congestion,weather,temperature,online_vehicle,total_vehicle,headway,is_peak,pressure_score,dispatch_action,priority,confidence,reason,status
S0001,-1,2024-04-07 13:51:00,21c4fd80af0c3078a9bd828c0a66a048,202路,97829a59879c4da2fd4d3497526a7c7a,人武部,452,358,0.953,0.923,大雨,19.7,17,19,29.8,1,9.361222222222223,user_diversion,low,0.5,模型未给出明确说明,ok
S0002,-1,2024-04-07 06:34:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,e59bc529c71f917f694d120f2061d05b,中心医院,404,238,0.956,0.972,雷阵雨,23.8,20,22,28.9,1,9.351227531956736,user_diversion,low,0.5,模型未给出明确说明,ok
S0003,-1,2024-04-07 12:39:00,0579abf0fa4403b90a190dbaea38636c,127路,e59bc529c71f917f694d120f2061d05b,中心医院,393,219,1.0,0.885,大雨,19.3,15,19,29.5,1,9.272024582104228,user_diversion,low,0.5,模型未给出明确说明,ok
S0004,-1,2024-04-07 07:20:00,21c4fd80af0c3078a9bd828c0a66a048,202路,32a6fa0bebd45f310a059e32092bf0c5,火炬广场,365,210,1.0,0.922,大雪,27.5,17,19,28.2,1,9.262588790560473,user_diversion,low,0.5,模型未给出明确说明,ok
S0005,-1,2024-04-07 11:37:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,f7aeb848e101cfa4978d9503f33fd943,图书馆,338,199,0.989,0.968,暴雨,12.3,19,22,27.3,1,9.253254277286135,user_diversion,low,0.5,模型未给出明确说明,ok
S0006,-1,2024-04-07 11:04:00,21c4fd80af0c3078a9bd828c0a66a048,202路,4c854e70cb36c0d8f4553849ab0c7741,中天广场,356,220,1.0,0.961,大雪,7.7,16,19,24.8,1,9.252921730580137,user_diversion,low,0.5,模型未给出明确说明,ok
S0007,-1,2024-04-07 07:14:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,fe24e7558457ffb3668f9b88e6746382,奥体中心,424,134,0.905,0.955,大雪,22.2,15,17,28.7,1,9.21083087512291,user_diversion,low,0.5,模型未给出明确说明,ok
S0008,-1,2024-04-07 11:22:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,6804f20d9758b3a91029d424dfa1daeb,高笋塘,364,241,1.0,0.911,大雪,16.6,20,22,26.7,1,9.202843067846608,user_diversion,low,0.5,模型未给出明确说明,ok
S0009,-1,2024-04-07 22:13:00,c2b333726a91ce0fb6190c8e428177d5,101路,34a208df009da83091ee5c7786f9a127,十八中,324,153,0.978,0.973,暴雨,24.0,18,19,27.2,1,9.200258603736481,user_diversion,low,0.5,模型未给出明确说明,ok
S0010,-1,2024-04-07 21:43:00,21c4fd80af0c3078a9bd828c0a66a048,202路,c32bcb4645490e5d7200359302437cd3,实验中学,385,89,0.977,0.895,暴雨,21.1,17,19,28.6,1,9.191925467059981,user_diversion,low,0.5,模型未给出明确说明,ok
S0011,-1,2024-04-07 11:10:00,31f975ac1fa38166b5ca3eb552503516,206路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,338,254,1.0,0.962,雷阵雨,6.8,13,14,23.4,1,9.184187610619468,user_diversion,low,0.5,模型未给出明确说明,ok
S0012,-1,2024-04-07 16:20:00,21c4fd80af0c3078a9bd828c0a66a048,202路,2f1ed7e40d9eff8afa3e6c4744047399,客运中心,301,239,1.0,0.973,暴雨,8.2,18,19,25.3,1,9.168751425762046,user_diversion,low,0.5,模型未给出明确说明,ok
S0013,-1,2024-04-07 20:48:00,21c4fd80af0c3078a9bd828c0a66a048,202路,cdefbce7d3b2383a7ae3fc110df92241,桥南新苑,372,260,1.0,0.887,大雪,10.6,16,19,26.2,1,9.156631071779746,user_diversion,low,0.5,模型未给出明确说明,ok
S0014,-1,2024-04-07 16:26:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,c32bcb4645490e5d7200359302437cd3,实验中学,367,223,0.985,0.899,大雪,14.6,7,8,26.4,1,9.134413569321534,user_diversion,low,0.5,模型未给出明确说明,ok
S0015,-1,2024-04-07 06:59:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,cdefbce7d3b2383a7ae3fc110df92241,桥南新苑,280,102,1.0,0.97,雷阵雨,30.6,12,14,25.3,1,9.115691248770895,user_diversion,low,0.5,模型未给出明确说明,ok
S0016,-1,2024-04-07 06:32:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,566b03152a15562132d0e21811e08915,中天广场,328,134,0.955,0.95,暴雨,5.4,14,17,27.8,1,9.107441494591937,user_diversion,low,0.5,模型未给出明确说明,ok
S0017,-1,2024-04-07 09:42:00,21c4fd80af0c3078a9bd828c0a66a048,202路,e59bc529c71f917f694d120f2061d05b,中心医院,334,262,1.0,0.874,大雨,7.6,18,19,28.9,1,9.103960275319565,user_diversion,low,0.5,模型未给出明确说明,ok
S0018,-1,2024-04-07 12:29:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,e59bc529c71f917f694d120f2061d05b,中心医院,318,228,0.94,0.957,雷阵雨,19.4,7,8,29.7,1,9.100939823008849,user_diversion,low,0.5,模型未给出明确说明,ok
S0019,-1,2024-04-07 07:10:00,0579abf0fa4403b90a190dbaea38636c,127路,566b03152a15562132d0e21811e08915,中天广场,276,160,1.0,0.978,大雪,5.3,17,19,23.9,1,9.093330580137659,user_diversion,low,0.5,模型未给出明确说明,ok
S0020,-1,2024-04-07 10:15:00,21c4fd80af0c3078a9bd828c0a66a048,202路,e59bc529c71f917f694d120f2061d05b,中心医院,298,98,1.0,0.9,大雪,18.3,18,19,28.9,1,9.081514257620452,user_diversion,low,0.5,模型未给出明确说明,ok
S0021,-1,2024-04-07 21:40:00,14cb7122f64146b02a21c2c791af904d,102路,f7aeb848e101cfa4978d9503f33fd943,图书馆,388,118,0.97,0.825,大雪,10.6,18,20,30.0,1,9.056073746312682,user_diversion,low,0.5,模型未给出明确说明,ok
S0022,-1,2024-04-07 11:16:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,7ebde94ec58378ede1d759b7aeb686ba,群安路口,296,215,0.994,0.923,雷阵雨,5.7,13,14,26.3,1,9.053111701081614,user_diversion,low,0.5,模型未给出明确说明,ok
S0023,-1,2024-04-07 10:38:00,14cb7122f64146b02a21c2c791af904d,102路,97829a59879c4da2fd4d3497526a7c7a,人武部,269,210,0.993,0.955,暴雨,19.5,16,20,25.7,1,9.047643854473943,user_diversion,low,0.5,模型未给出明确说明,ok
S0024,-1,2024-04-07 20:14:00,21c4fd80af0c3078a9bd828c0a66a048,202路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,401,248,0.931,0.862,大雪,31.9,15,19,29.5,1,9.045923697148474,user_diversion,low,0.5,模型未给出明确说明,ok
S0025,-1,2024-04-07 12:05:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,97829a59879c4da2fd4d3497526a7c7a,人武部,263,197,0.976,0.949,大雪,25.3,13,14,28.9,1,9.044680629301867,user_diversion,low,0.5,模型未给出明确说明,ok
S0026,-1,2024-04-07 19:35:00,21c4fd80af0c3078a9bd828c0a66a048,202路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,382,171,0.926,0.895,大雪,19.4,18,19,28.6,1,9.042488298918387,user_diversion,low,0.5,模型未给出明确说明,ok
S0027,-1,2024-04-07 21:32:00,21c4fd80af0c3078a9bd828c0a66a048,202路,43e4740e92183dc8b3c4ab5966883327,高山湾枢纽站,306,120,0.987,0.952,大雨,18.8,18,19,22.7,1,9.039435594886923,user_diversion,low,0.5,模型未给出明确说明,ok
S0028,-1,2024-04-07 18:34:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,327,149,1.0,0.935,大雪,8.0,16,17,20.6,1,9.038229105211407,user_diversion,low,0.5,模型未给出明确说明,ok
S0029,-1,2024-04-07 19:06:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,5b6e6f9a700bcd8f390708f9c39b2552,奥体中心,318,153,1.0,0.848,大雪,10.4,20,22,29.7,1,9.02913982300885,user_diversion,low,0.5,模型未给出明确说明,ok
S0030,-1,2024-04-07 16:22:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,f7aeb848e101cfa4978d9503f33fd943,图书馆,306,184,0.993,0.909,雷阵雨,24.2,16,17,25.6,1,9.026080039331367,user_diversion,low,0.5,模型未给出明确说明,ok
S0031,-1,2024-04-07 17:21:00,2784f60394214283364aa4321717a939,104路,b3a4a450c421c8eae38cfd4850b22ea1,大华公寓,275,215,0.98,0.973,大雪,15.1,13,14,23.7,1,9.019673746312685,user_diversion,low,0.5,模型未给出明确说明,ok
S0032,-1,2024-04-07 09:05:00,d288657336e08c8f69db3df62d8f24c1,107B路,72e69340d0d9f8445501e2557deceaf6,党校,201,119,0.999,0.969,暴雨,7.2,8,9,29.0,1,9.01813470993117,user_diversion,low,0.5,模型未给出明确说明,ok
