sample_id,time,line_id,line_name,station_id,nearest_boarding_station,destination_station,current_location,walk_distance_m,inflow_30m,outflow_30m,weather,temperature,headway,online_vehicle,total_vehicle,is_peak,scenic_name,scenic_type,scenic_intensity,advice_intent,crowding_adjusted,congestion_adjusted,seat_pressure,boarding_convenience,advice_level,recommended_action,user_question,assistant_answer
TA00001,2024-04-07 11:31:00,d288657336e08c8f69db3df62d8f24c1,107B路,37f9b6342afd28b250930f1365636352,四环明珠,电信局,四环明珠对面天桥下约726米,726,199,84,雷阵雨,9.7,25.9,8,9,1,图书馆文化区,文教热点,0.472,晚高峰回家,0.949,0.96,0.935,0.1,强提醒,避让/错峰,我现在在四环明珠对面天桥下约726米，要去电信局，走过去坐107B路合适吗？,"您好！从四环明珠对面天桥下约726米前往电信局，目前正值高峰时段，周边道路和客流压力较大。

目前107B路的车厢拥挤度在 95% 左右，道路拥堵指数 96%。受路况影响，预计当前发车间隔较长（约 25.9 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00002,2024-04-07 12:22:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,37f9b6342afd28b250930f1365636352,四环明珠,江东师院,四环明珠商圈附近约289米,289,13,7,阴,32.1,44.7,11,17,0,高笋塘步行区,商圈客流,0.351,晚高峰回家,0.456,0.963,0.717,0.639,强提醒,避让/错峰,外面天气感觉一般，我从四环明珠商圈附近约289米出发去江东师院，帮我看看路况和车上挤不挤。,"您好！从四环明珠商圈附近约289米前往江东师院，距离上车点四环明珠约289米，走过去很近。

目前112路的车厢拥挤度在 46% 左右，道路拥堵指数 96%。受路况影响，预计当前发车间隔较长（约 44.7 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00003,2024-04-07 08:21:00,21c4fd80af0c3078a9bd828c0a66a048,202路,3de2c7760a21d9abc8abdcacaf08f885,行政服务中心,图书馆,行政服务中心对面天桥下约277米,277,54,37,晴,27.8,10.2,14,19,1,宏声桥商圈,商圈客流,0.711,雨天出行,0.608,0.596,0.551,0.654,普通,常态候车,外面天气感觉一般，我从行政服务中心对面天桥下约277米出发去图书馆，帮我看看路况和车上挤不挤。,"您好！从行政服务中心对面天桥下约277米前往图书馆，目前正值高峰时段，周边道路和客流压力较大。

目前202路的车厢拥挤度在 61% 左右，道路拥堵指数 60%。另外，受宏声桥商圈商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00004,2024-04-07 13:38:00,c2b333726a91ce0fb6190c8e428177d5,101路,eaa33713ea5567ae15d489abd052d999,公安局,十五中,公安局公交港湾约204米,204,133,55,阴,29.6,9.7,15,19,1,白鹤梁,文化景区,0.241,景区避堵,0.896,0.53,0.672,0.745,强提醒,避让/错峰,外面天气感觉一般，我从公安局公交港湾约204米出发去十五中，帮我看看路况和车上挤不挤。,"您好！从公安局公交港湾约204米前往十五中，目前正值高峰时段，周边道路和客流压力较大。

目前101路的车厢拥挤度在 90% 左右，道路拥堵指数 53%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00005,2024-04-07 18:12:00,c2b333726a91ce0fb6190c8e428177d5,101路,37f9b6342afd28b250930f1365636352,四环明珠,沙溪温泉,四环明珠商圈附近约697米,697,127,36,晴,24.1,14.3,12,19,0,宏声桥商圈,商圈客流,0.415,通勤出行,0.84,0.436,0.646,0.129,普通,常态候车,外面天气感觉一般，我从四环明珠商圈附近约697米出发去沙溪温泉，帮我看看路况和车上挤不挤。,"您好！从四环明珠商圈附近约697米前往沙溪温泉，距离上车点四环明珠约697米，走过去很近。

目前101路的车厢拥挤度在 84% 左右，道路拥堵指数 44%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00006,2024-04-07 15:23:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,83da1c91a60b0425615225a81a7a2266,水务局,桥南新苑,水务局对面天桥下约54米,54,11,5,阴,9.9,41.6,11,17,0,行政服务中心,政务集散,0.436,晚高峰回家,0.343,0.99,0.669,0.932,强提醒,避让/错峰,我现在在水务局对面天桥下约54米，要去桥南新苑，走过去坐112路合适吗？,"您好！从水务局对面天桥下约54米前往桥南新苑，距离上车点水务局约54米，走过去很近。

目前112路的车厢拥挤度在 34% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 41.6 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00007,2024-04-07 22:05:00,21c4fd80af0c3078a9bd828c0a66a048,202路,0747da93e8e62e0df6b0fe4a6e92f78e,图书馆,中心医院,图书馆东侧约542米,542,227,86,阴,9.8,12.9,15,19,0,宏声桥商圈,商圈客流,0.666,换乘规划,0.861,0.528,0.675,0.323,强提醒,避让/错峰,外面天气感觉一般，我从图书馆东侧约542米出发去中心医院，帮我看看路况和车上挤不挤。,"您好！从图书馆东侧约542米前往中心医院，距离上车点图书馆约542米，走过去很近。

目前202路的车厢拥挤度在 86% 左右，道路拥堵指数 53%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00008,2024-04-07 16:55:00,0579abf0fa4403b90a190dbaea38636c,127路,e8d1bd9015e579cc627fa1da18937c02,十五中,洗墨路口,十五中对面天桥下约790米,790,116,90,暴雨,33.3,15.5,16,19,0,行政服务中心,政务集散,0.36,晚高峰回家,0.99,0.99,0.895,0.1,强提醒,避让/错峰,我现在在十五中对面天桥下约790米，要去洗墨路口，走过去坐127路合适吗？,"您好！从十五中对面天桥下约790米前往洗墨路口，当前外面是暴雨，距离十五中站还有790米步行路程，请务必备好雨具注意安全。

目前127路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 15.5 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00009,2024-04-07 11:38:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,e59bc529c71f917f694d120f2061d05b,中心医院,森林公园,中心医院东侧约252米,252,20,13,小雨,27.3,11.8,11,14,1,实验中学考点周边,高峰集散,0.714,通勤出行,0.856,0.754,0.733,0.685,强提醒,避让/错峰,结合现在的天气和附近客流，从中心医院东侧约252米去森林公园怎么走最稳妥？,"您好！从中心医院东侧约252米前往森林公园，目前正值高峰时段，周边道路和客流压力较大。

目前108路的车厢拥挤度在 86% 左右，道路拥堵指数 75%。另外，受实验中学考点周边高峰集散影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00010,2024-04-07 19:28:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,e63f45c0daac5879a1ced5fcc5d140e2,李志沧骨科医院,杨树新村菜市场,李志沧骨科医院东侧约511米,511,20,15,多云,30.9,9.4,14,17,1,行政服务中心,政务集散,0.318,晚高峰回家,0.636,0.659,0.578,0.361,普通,常态候车,我刚到李志沧骨科医院东侧约511米附近，准备回杨树新村菜市场，坐112路的话要等很久吗？,"您好！从李志沧骨科医院东侧约511米前往杨树新村菜市场，目前正值高峰时段，周边道路和客流压力较大。

目前112路的车厢拥挤度在 64% 左右，道路拥堵指数 66%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
