time,line_id,line_name,station_id,station_name,inflow_30m,outflow_30m,crowding,congestion,weather,temperature,online_vehicle,total_vehicle,headway,is_peak
2024-04-07 06:00:00,31f975ac1fa38166b5ca3eb552503516,206路,adfb72413cbc8ff7904e8b98e0aaa70c,沙溪温泉,31,6,0.698,0.625,多云,15.4,10,14,11.9,1
2024-04-07 06:00:00,0579abf0fa4403b90a190dbaea38636c,127路,fe24e7558457ffb3668f9b88e6746382,奥体中心,24,8,0.641,0.691,小雨,27.4,14,19,10.8,1
2024-04-07 06:00:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,051a82a74a8537f06128610f13bea5f4,群安路口,31,8,0.94,0.621,阴,34.6,17,17,8.6,1
2024-04-07 06:00:00,2784f60394214283364aa4321717a939,104路,d78c756ab6b09b5e32c3a9489970b6a7,人民医院,40,28,0.875,0.686,晴,11.3,14,14,11.9,1
2024-04-07 06:00:00,c2b333726a91ce0fb6190c8e428177d5,101路,97829a59879c4da2fd4d3497526a7c7a,人武部,12,2,0.645,0.935,晴,18.2,15,19,29.3,0
2024-04-07 06:00:00,2784f60394214283364aa4321717a939,104路,8e9f6f74309c8bedf3d317aea394b851,朋乐路口,217,133,0.866,0.956,暴雨,6.7,13,14,20.2,0
2024-04-07 06:00:00,21c4fd80af0c3078a9bd828c0a66a048,202路,3de2c7760a21d9abc8abdcacaf08f885,行政服务中心,41,30,0.793,0.682,多云,25.2,14,19,10.9,1
2024-04-07 06:00:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,6804f20d9758b3a91029d424dfa1daeb,高笋塘,18,5,0.724,0.636,晴,21.7,18,22,8.6,1
2024-04-07 06:00:00,21c4fd80af0c3078a9bd828c0a66a048,202路,fe24e7558457ffb3668f9b88e6746382,奥体中心,188,104,0.908,0.417,晴,7.5,15,19,13.1,0
2024-04-07 06:00:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,32a6fa0bebd45f310a059e32092bf0c5,火炬广场,22,6,0.547,0.911,晴,15.4,11,14,31.6,0
2024-04-07 06:00:00,0579abf0fa4403b90a190dbaea38636c,127路,f58fe448b66fd52a6b7a091f09054ebf,杨家花园,52,18,0.945,0.72,晴,14.6,19,19,8.2,1
2024-04-07 06:00:00,31f975ac1fa38166b5ca3eb552503516,206路,0747da93e8e62e0df6b0fe4a6e92f78e,图书馆,14,9,0.597,0.936,阴,34.9,11,14,26.3,0
2024-04-07 06:00:00,0579abf0fa4403b90a190dbaea38636c,127路,4f2375ed5c0e099e70dd1442883dc302,杨树新村菜市场,197,43,0.806,0.463,小雨,11.1,12,19,13.9,0
2024-04-07 06:01:00,c2b333726a91ce0fb6190c8e428177d5,101路,3de2c7760a21d9abc8abdcacaf08f885,行政服务中心,28,14,0.838,0.62,多云,24.7,15,19,9.4,1
2024-04-07 06:01:00,2784f60394214283364aa4321717a939,104路,8cdb08e54ac324ab4a3aab6111b88270,泽胜温泉城（西门）,59,40,0.674,0.626,阴,26.0,10,14,11.5,1
2024-04-07 06:01:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,fcc535d2cd655625e8835c6f4a092573,罗家花园,180,89,0.765,0.468,晴,21.8,5,8,14.6,1
2024-04-07 06:01:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,fab859ef347c3152b7c1b1c576d51220,人武部,65,36,0.591,0.66,多云,34.7,12,17,10.8,1
2024-04-07 06:01:00,2784f60394214283364aa4321717a939,104路,1728188a4355d1263bb2fb3b086c3429,三中院,57,27,0.923,0.73,多云,34.0,14,14,10.9,1
2024-04-07 06:01:00,2784f60394214283364aa4321717a939,104路,566b03152a15562132d0e21811e08915,中天广场,24,5,0.668,0.554,小雨,26.6,10,14,10.4,1
2024-04-07 06:01:00,d288657336e08c8f69db3df62d8f24c1,107B路,e7b6a327e08cfeb33da00b35223b9f6d,泽胜温泉城（西门）,51,38,0.743,0.748,多云,15.4,7,9,11.5,1
2024-04-07 06:02:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,c32bcb4645490e5d7200359302437cd3,实验中学,59,32,0.971,0.721,小雨,21.5,22,22,10.9,1
2024-04-07 06:02:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,32a6fa0bebd45f310a059e32092bf0c5,火炬广场,179,50,0.819,0.6,多云,28.0,17,22,9.0,0
2024-04-07 06:02:00,d288657336e08c8f69db3df62d8f24c1,107B路,051a82a74a8537f06128610f13bea5f4,群安路口,163,72,0.859,0.479,晴,10.5,7,9,13.5,0
2024-04-07 06:02:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,566b03152a15562132d0e21811e08915,中天广场,63,41,0.788,0.546,小雨,22.4,13,17,9.8,1
2024-04-07 06:02:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,e8d1bd9015e579cc627fa1da18937c02,十五中,7,3,0.49,0.925,阴,22.3,10,14,43.9,0
2024-04-07 06:02:00,0579abf0fa4403b90a190dbaea38636c,127路,94be7727456cfe592dcc3919ba3ab93e,十八中,56,14,0.707,0.551,晴,17.3,15,19,9.0,1
2024-04-07 06:02:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,396c1979928ef81d9d2ccfbd2864a0b3,大塘路口,179,66,0.757,0.578,阴,23.4,12,17,10.9,1
2024-04-07 06:02:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,566b03152a15562132d0e21811e08915,中天广场,8,4,0.379,0.964,阴,18.0,17,22,40.7,0
2024-04-07 06:02:00,21c4fd80af0c3078a9bd828c0a66a048,202路,3de2c7760a21d9abc8abdcacaf08f885,行政服务中心,135,63,1.0,0.949,大雪,31.7,17,19,19.6,0
2024-04-07 06:03:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,fe24e7558457ffb3668f9b88e6746382,奥体中心,42,17,0.823,0.714,多云,20.9,17,22,10.9,1
2024-04-07 06:03:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,43e4740e92183dc8b3c4ab5966883327,高山湾枢纽站,20,11,0.42,0.949,小雨,21.0,17,22,29.5,0
2024-04-07 06:04:00,14cb7122f64146b02a21c2c791af904d,102路,de1fbcb2a4965c0198d17552e7817649,兴华花园,47,18,0.733,0.724,小雨,32.0,17,20,9.2,1
2024-04-07 06:04:00,d288657336e08c8f69db3df62d8f24c1,107B路,7ebde94ec58378ede1d759b7aeb686ba,群安路口,52,29,0.682,0.705,晴,12.1,6,9,11.7,1
2024-04-07 06:04:00,d288657336e08c8f69db3df62d8f24c1,107B路,396c1979928ef81d9d2ccfbd2864a0b3,大塘路口,41,31,0.901,0.791,小雨,26.8,9,9,11.9,1
2024-04-07 06:04:00,14cb7122f64146b02a21c2c791af904d,102路,97829a59879c4da2fd4d3497526a7c7a,人武部,97,75,0.966,0.458,多云,7.5,12,20,12.9,1
2024-04-07 06:04:00,d288657336e08c8f69db3df62d8f24c1,107B路,d8b5de9516c4a746dddaeb57549bdd96,杨柳站,39,16,0.827,0.707,阴,10.4,9,9,11.7,1
2024-04-07 06:04:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,6804f20d9758b3a91029d424dfa1daeb,高笋塘,173,132,0.76,0.563,阴,29.5,16,22,13.2,0
2024-04-07 06:04:00,d288657336e08c8f69db3df62d8f24c1,107B路,e63f45c0daac5879a1ced5fcc5d140e2,李志沧骨科医院,66,13,0.817,0.731,晴,19.4,9,9,8.7,1
